post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2638485776232029	2019-11-11T12:49:39+0000	""	12357	19	598
904277726319518_2637395089674431	2019-11-11T00:09:18+0000	"a oea abriu caminho para o golpe na bolivia. podia se manifestar sobre o que acha dos ultimos acontecimentos."	4831	87	210
904277726319518_2636527093094564	2019-11-10T14:58:41+0000	"fico impressionado com o medo que tanta gente armada tem de um homem desarmado!"	25625	10	2281
904277726319518_2634874279926512	2019-11-09T20:19:52+0000	"nos bracos do povo.  #lulalivre  foto: ricardo stuckert"	13958	31	1414
904277726319518_2634034716677135	2019-11-09T12:14:23+0000	"#lulalivre  foto: ricardo stuckert"	40297	78	2931
904277726319518_2630865796994027	2019-11-08T01:03:43+0000	"o stf ja declarou que: 1) a conducao coercitiva de lula foi ilegal; 2) o vazamento das conversas com a dilma foi ilegal; 3) o impedimento de que lula tomasse posse como ministro foi manipulado. falta declarar: 4) a suspeicao de moro por parcialidade."	23929	61	3244
904277726319518_2630575127023094	2019-11-07T21:39:20+0000	"glenn e um gigante do jornalismo internacional diante do rebotalho do jornalismo local que e o augusto nunes. o pedido de desculpas da jovem pan e importante, mas nao suficiente pelo mal que esse sujeito faz a democracia brasileira. augusto nunes nao honra a profissao."	17388	46	871
904277726319518_2627444690669471	2019-11-06T10:51:51+0000	"saude e educacao o pacote de guedes envolve uma infinidade de medidas, mas uma consequencia inegavel para quem entende de financas publicas e a drenagem de dezenas de bilhoes de reais de recursos da educacao para a saude."	2905	252	233
904277726319518_731504774018175	2019-11-04T23:02:10+0000	"fernando haddad entrevista o cineasta fernando meirelles."	3071	21	513
904277726319518_2623440541069886	2019-11-04T14:01:23+0000	"hoje, as 20h, entrevisto o cineasta fernando meirelles. nos vamos conversar sobre o atual momento do cinema brasileiro, sobre seus filmes como cidade de deus e, principalmente, dois papas, que ele recentemente apresentou na mostra internacional de cinema de sao paulo."	2315	1	54
904277726319518_2619643821449558	2019-11-02T17:48:01+0000	"isso e crime!"	8748	2410	2714
904277726319518_2618982318182375	2019-11-02T11:25:45+0000	"minha coluna da semana e sobre a geringonca brasileira, composta por tres partes: autoritarismo, fundamentalismo e neoliberalismo."	3882	25	444
904277726319518_2617832678297339	2019-11-01T21:55:03+0000	"quando reformulamos integralmente o enem para que ele pudesse enfim acabar com o vestibular e permitir a criacao do sisu, muita gente torceu o nariz. hoje, o acesso da classe trabalhadora a universidade e uma realidade. prouni e sisu, duas conquistas do governo lula!!! bom enem!!"	21815	8	3114
904277726319518_2616925681721372	2019-11-01T11:54:51+0000	"na proxima segunda, entrevisto o cineasta fernando meirelles. vamos falar sobre cinema, cultura e politica brasileira. acompanhe na alltv e nas nossas redes as 20h."	5631	14	232
904277726319518_2615437628536844	2019-10-31T18:22:13+0000	"haddad sobre eduardo bolsonaro: 'a unica punicao cabivel e a perda de mandato'"	5938	13	1487
904277726319518_2611138895633384	2019-10-29T16:03:19+0000	"bolsonaro pediu desculpas ao stf podia pedir desculpas ao povo argentino ao povo brasileiro  a toda humanidade aos seres vivos de uma maneira geral a deus por invocar seu nome em vao"	23230	47	3233
904277726319518_2608922922521648	2019-10-28T14:39:06+0000	"caro bruno covas, desejo a voce pronto restabelecimento. forca!"	7462	4	278
